,Value
baseline_n_estimators,408
baseline_learning_rate,0.05
baseline_max_depth,5
baseline_subsample,0.8
baseline_colsample_bytree,0.8
baseline_min_child_weight,—
baseline_gamma,—
baseline_reg_alpha,—
baseline_reg_lambda,—
baseline_val_auroc,0.857
baseline_val_auprc,0.6513
baseline_val_f1,0.539
baseline_test_auroc,0.8586
baseline_test_auprc,0.6547
baseline_test_f1,0.5414
baseline_cv_auroc_mean,0.8581
baseline_cv_auroc_std,0.0013
baseline_cv_auprc_mean,0.6515
baseline_cv_auprc_std,0.0036
tuned_n_estimators,99
tuned_learning_rate,0.104672
tuned_max_depth,8
tuned_subsample,0.7089
tuned_colsample_bytree,0.8153
tuned_min_child_weight,2
tuned_gamma,0.0735
tuned_reg_alpha,6.9e-05
tuned_reg_lambda,0.00939
tuned_val_auroc,0.8567
tuned_val_auprc,0.6506
tuned_val_f1,0.542
tuned_test_auroc,0.8574
tuned_test_auprc,0.6543
tuned_test_f1,0.5424
tuned_cv_auroc_mean,0.857
tuned_cv_auroc_std,0.0015
tuned_cv_auprc_mean,0.6518
tuned_cv_auprc_std,0.004
delta_test_auroc,-0.0012
delta_test_auprc,-0.0004
delta_test_f1,0.001
threshold_used,0.38
model_selected_for_shap,Tuned
